commit	dimensions	target	outcome	rationale
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	arm-thumb	already-covered	Adds the optional biology-candidate and shared corpus/oracle gate. The source workflow contains this change. An optional or absent candidate does not establish emitted/tested ARM support.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	s32k3-cortex-m7	defer-measurement	Adds the optional biology-candidate and shared corpus/oracle gate. Observation-only: the shared test contract is a possible future fixture, but this review collected no M-profile/ABI execution evidence and activates no automotive work.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	rp2040-cortex-m0plus	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. Workflow wiring does not change the Armv6-M inventory. No Thumb-2/VFP assumptions or PIO compiler work transfer.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	riscv-rv64i-hosted	defer-measurement	Adds the optional biology-candidate and shared corpus/oracle gate. The shared branch/search oracle may be reusable; no RISC-V candidate run was collected. Preserve RV64I/LP64/ELF64 as one hosted lane, not generic RV32 or shared IR.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	a64-generic	defer-measurement	Adds the optional biology-candidate and shared corpus/oracle gate. Consider the oracle at the designated A64 codegen owner; this review supplies no A64 execution evidence or ABI choice, and starts no second selector.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	x86-64	defer-measurement	Adds the optional biology-candidate and shared corpus/oracle gate. Consider the oracle at the x86-64 codegen owner using native instructions and its selected ABI. No target run was collected and no RefC/C fallback is authorized.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	switch1-tegra-x1	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. This is host CI wiring, not Switch deployment, platform ABI, buffers or synchronization. A64 codegen and Maxwell shaders retain their separate owners.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	wasm	defer-measurement	Adds the optional biology-candidate and shared corpus/oracle gate. The fixture contract is plausible, but no Wasm module/candidate run was collected. Keep typed-stack, structured-control and linear-memory validation separate from ARM ABI.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	webgpu	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. CPU/host gate wiring does not establish WGSL/shader acceptance. Shader policy #21/#23 remains separate from the WebGPU runtime overlay.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	apple-cpu-atlas	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No Apple ISA, ABI or SoC atlas facts change. Modern arm64 and Intel profiles continue to reuse their respective codegen owners; Metal is separate.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	bigiron-a64-catalog	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No A64/SVE/SME inventory fact changes. This catalog is not a second instruction selector or evidence of emitted/tested support.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	bigiron-x86-catalog	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No LLVM-derived cross-vendor inventory fact changes. Backend-facing XED inventory and codegen remain with idric-x86-aggressive-backend.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	bigiron-power	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No POWER inventory fact changes. Host corpus checks do not satisfy the separate executable POWER gate or select a POWER ABI.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	bigiron-s390x	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No s390x inventory fact changes. Host corpus checks do not satisfy the separate executable s390x gate.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	atmega	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No AVR inventory or selected device profile changes; host gate wiring does not create an emission surface.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	attiny	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No reduced-core AVR inventory facts change, and the gate supplies no ATtiny execution evidence.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	ch552	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No 8051/CH55x inventory or ABI facts change. Host workflow wiring must not impose ARM shapes.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	msp430	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No MSP430 widths, registers, flags, addressing or ABI facts change. The inventory remains distinct from executable acceptance.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	game-boy	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No Game Boy architecture facts change. An optional biology workload is not activation of this construction target.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	esp-unresolved	defer-measurement	Adds the optional biology-candidate and shared corpus/oracle gate. The exact Xtensa or RISC-V device/profile remains unresolved in this policy. No target propagation is authorized by a host corpus gate.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	rp4080-invalid	defer-measurement	Adds the optional biology-candidate and shared corpus/oracle gate. This policy still has no concrete real device or separated programmable ISAs for the name. No implementation is authorized.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	automotive-rh850	defer-measurement	Adds the optional biology-candidate and shared corpus/oracle gate. Observation-only: record the possible test seam, but no RH850 public-toolchain/target-oracle receipt was collected. Do not activate codegen.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	automotive-e200	defer-measurement	Adds the optional biology-candidate and shared corpus/oracle gate. Observation-only: no e200 execution evidence was collected. Keep embedded VLE/SPE/ABI separate from server POWER and do not activate codegen.
0950ebaef7b10baf391eb1a7de5227b9632ea4d1	2	automotive-tricore	not-applicable	Adds the optional biology-candidate and shared corpus/oracle gate. No TC1.8 reference fact changes. Host corpus checks are not the required public reproducible TriCore execution gate.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	arm-thumb	already-covered	Pins corpus and action revisions; no lowering or ABI change. The source workflow contains this change. An optional or absent candidate does not establish emitted/tested ARM support.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	s32k3-cortex-m7	defer-measurement	Pins corpus and action revisions; no lowering or ABI change. Observation-only: the shared test contract is a possible future fixture, but this review collected no M-profile/ABI execution evidence and activates no automotive work.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	rp2040-cortex-m0plus	not-applicable	Pins corpus and action revisions; no lowering or ABI change. Workflow wiring does not change the Armv6-M inventory. No Thumb-2/VFP assumptions or PIO compiler work transfer.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	riscv-rv64i-hosted	defer-measurement	Pins corpus and action revisions; no lowering or ABI change. The shared branch/search oracle may be reusable; no RISC-V candidate run was collected. Preserve RV64I/LP64/ELF64 as one hosted lane, not generic RV32 or shared IR.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	a64-generic	defer-measurement	Pins corpus and action revisions; no lowering or ABI change. Consider the oracle at the designated A64 codegen owner; this review supplies no A64 execution evidence or ABI choice, and starts no second selector.
