source_id	detroit_date	source_class	grade	window_start_utc	window_end_utc	returned_records	full_originals_read	denominator	attachments_inspected	public_records_counted	private_repository_records_withheld	scope_or_missing_note
CHAT-20260905	2026-09-05	private_conversation	summary_only	2026-09-05T04:00:00Z	2026-09-06T03:59:59Z	unknown	0	unknown	0			Full conversations, turns, and attachments unavailable.
GH-AUTHOR-CREATED-20260905	2026-09-05	github_pr_issue_metadata	repository_evidence_only	2026-09-05T04:00:00Z	2026-09-06T03:59:59Z	28	selected only	28	selected only	28	0	Exact query denominator: 25 PRs + 3 issues authored by the connected user; implementation/comments/releases/artifacts reviewed selectively.
CHAT-20260906	2026-09-06	private_conversation	summary_only	2026-09-06T04:00:00Z	2026-09-07T03:59:59Z	unknown	0	unknown	0			Full conversations, turns, and attachments unavailable.
GH-AUTHOR-CREATED-20260906	2026-09-06	github_pr_issue_metadata	repository_evidence_only	2026-09-06T04:00:00Z	2026-09-07T03:59:59Z	29	selected only	29	selected only	29	0	Exact query denominator: 24 PRs + 5 issues authored by the connected user; implementation/comments/releases/artifacts reviewed selectively.
CHAT-20260907	2026-09-07	private_conversation	unavailable	2026-09-07T04:00:00Z	2026-09-08T03:59:59Z	unknown	0	unknown	0			No stable private conversation record surfaced.
GH-AUTHOR-CREATED-20260907	2026-09-07	github_pr_issue_metadata	repository_evidence_only	2026-09-07T04:00:00Z	2026-09-08T03:59:59Z	28	selected only	28	selected only	27	1	Exact query denominator: 25 PRs + 3 issues authored by the connected user; implementation/comments/releases/artifacts reviewed selectively.
CHAT-20260908	2026-09-08	private_conversation	partial_original_plus_summary	2026-09-08T04:00:00Z	2026-09-09T03:59:59Z	unknown	0	unknown	0			Conversation excerpts incomplete; attachments unavailable.
GH-AUTHOR-CREATED-20260908	2026-09-08	github_pr_issue_metadata	repository_evidence_only	2026-09-08T04:00:00Z	2026-09-09T03:59:59Z	51	selected only	51	selected only	51	0	Exact query denominator: 45 PRs + 6 issues authored by the connected user; implementation/comments/releases/artifacts reviewed selectively.
CHAT-20260909	2026-09-09	private_conversation	partial_original	2026-09-09T04:00:00Z	2026-09-10T03:59:59Z	unknown	0	unknown	0			Conversation excerpts incomplete; attachments unavailable.
GH-AUTHOR-CREATED-20260909	2026-09-09	github_pr_issue_metadata	repository_evidence_only	2026-09-09T04:00:00Z	2026-09-10T03:59:59Z	31	selected only	31	selected only	31	0	Exact query denominator: 29 PRs + 2 issues authored by the connected user; implementation/comments/releases/artifacts reviewed selectively.
CHAT-20260910	2026-09-10	private_conversation	partial_original_plus_summary	2026-09-10T04:00:00Z	2026-09-11T03:59:59Z	unknown	0	unknown	0			Conversation excerpts incomplete; referenced evidence unavailable.
GH-AUTHOR-CREATED-20260910	2026-09-10	github_pr_issue_metadata	repository_evidence_only	2026-09-10T04:00:00Z	2026-09-11T03:59:59Z	20	selected only	20	selected only	20	0	Exact query denominator: 15 PRs + 5 issues authored by the connected user; implementation/comments/releases/artifacts reviewed selectively.
CHAT-20260911	2026-09-11	private_conversation	partial_original	2026-09-11T04:00:00Z	2026-09-12T03:59:59Z	unknown	0	unknown	0			No complete conversation inventory or attachment access.
GH-AUTHOR-CREATED-20260911	2026-09-11	github_pr_issue_metadata	repository_evidence_only	2026-09-11T04:00:00Z	2026-09-12T03:59:59Z	52	selected only	52	selected only	51	1	Exact query denominator: 38 PRs + 14 issues authored by the connected user; implementation/comments/releases/artifacts reviewed selectively.
CHAT-20260912	2026-09-12	private_conversation	partial_original	2026-09-12T04:00:00Z	2026-09-12T13:41:01Z	unknown	0	unknown	0			Issue creation is the cutoff proxy; exact private-message timestamp unavailable.
GH-AUTHOR-CREATED-20260912	2026-09-12	github_pr_issue_metadata	repository_evidence_only	2026-09-12T04:00:00Z	2026-09-12T13:41:01Z	1	selected only	1	selected only	1	0	Exact query denominator: 0 PRs + 1 issues authored by the connected user; implementation/comments/releases/artifacts reviewed selectively.
