target	repository	ref	layer	stage	mode	isa_closeness	device_closeness	scope	rule
arm-thumb	isomorphisms/idric-arm-thumb	main	cpu-codegen	authority-active	authority	exact	exact	primary	Primary human-guided CPU backend proving ground; Idric core still owns target-independent language and checked-IR semantics, and follower lag never blocks this backend.
s32k3-cortex-m7	isomorphisms/idric-automotive-ecu	follower/arm-cortex-m7-s32k3	cpu-codegen	implementation-planned	observe-close	high	low	automotive-observe	Reuse genuine Thumb-2 lowering where the exact M-profile and ABI permit, but ordinary sweeps only record deltas; do not start an active automotive project unless requested.
rp2040-cortex-m0plus	isomorphisms/idric-embedded	rp2040	architecture-catalog	inventory-only	close-arm	medium	low	embedded-selective	The current branch is an Armv6-M Cortex-M0+ plus PIO catalog, not a backend; only the CPU profile follows ARM work, Thumb-2/VFP assumptions are illegal, and PIO is a separate programmable ISA.
riscv-rv64i-hosted	isomorphisms/idric-risc-5	architecture-first-seed	cpu-codegen	implementation-planned	boring-native	low	low	provisional-hosted	Use target-native RISC-V mechanisms and ARM-proven backend seams/oracles; RV64I/LP64/Linux is one provisional hosted lane, not a decision that generic or embedded RISC-V is 64-bit.
a64-generic	isomorphisms/idric-x86-aggressive-backend	a64-backend	cpu-codegen	implementation-planned	boring-native	medium	medium	active-secondary	Canonical generic A64 codegen owner, currently README-only with no backend claim; consume the big-iron A64 catalog and emit straightforward direct A64 before measured target-specific optimization.
x86-64	isomorphisms/idric-x86-aggressive-backend	main	cpu-codegen	implementation-planned	boring-native	low	low	active-secondary	Canonical x86-64 codegen owner; preserve accepted semantics and verification structure, emit direct target-native code, and never use RefC/C as an implementation escape hatch.
switch1-tegra-x1	isomorphisms/idric-embedded	switch	platform-overlay	platform-only	device-overlay	medium	high	active-product	Original-Switch host/runtime/deployment overlay only; CPU codegen belongs to a64-backend and Maxwell shader work belongs to idris-shader-backend/target/switch-maxwell-sm53.
wasm	isomorphisms/idric-embedded	wasm	virtual-codegen	implementation-draft	semantic-virtual	none	medium	active-secondary	Follow accepted semantics, fixtures, numerical intent and memory effects through Wasm validation, typed-stack, structured-control and linear-memory rules; inspect open PR #9 before creating duplicate implementation work.
webgpu	isomorphisms/idris-shader-backend	target/webgpu-wgsl	shader-boundary	reference-only	separate-track	none	high	shader-separate-track	WGSL compiler work follows shader policy #21/#23; idric-embedded/webgpu is host/runtime only and CPU follower rules do not apply.
apple-cpu-atlas	isomorphisms/idric-x86-aggressive-backend	Apple	target-profile	reference-only	observation-only	medium	high	profile-overlay	Apple ISA/ABI/SoC catalog only; modern arm64 codegen reuses a64-backend, Intel codegen reuses x86-64, historical targets stay historical, and Apple GPU/Metal is separate.
bigiron-a64-catalog	isomorphisms/idric-big-iron	arch/aarch64-sve	architecture-catalog	inventory-only	inventory-observe	medium	low	architecture-research	Own the complete A64/SVE/SME catalog and applicability notes; do not implement a second generic A64 selector here.
bigiron-x86-catalog	isomorphisms/idric-big-iron	arch/x86-64	architecture-catalog	reference-only	observation-only	low	low	noncanonical-reference	Keep only comparative notes; canonical complete inventory and executable x86-64 work live in idric-x86-aggressive-backend.
bigiron-power	isomorphisms/idric-big-iron	arch/power	architecture-catalog	inventory-only	inventory-observe	low	low	architecture-research	Propagate questions, semantic stress tests and catalog annotations broadly; do not claim or start executable POWER codegen without its explicit reproducible execution gate.
bigiron-s390x	isomorphisms/idric-big-iron	arch/s390x	architecture-catalog	inventory-only	inventory-observe	low	low	architecture-research	Propagate questions, semantic stress tests and catalog annotations broadly; do not claim or start executable s390x codegen without its explicit reproducible execution gate.
atmega	isomorphisms/idric-embedded	atmega	architecture-catalog	inventory-only	selective	low	low	embedded-selective	Carry semantic tests and useful boundaries only when cheap or requested; keep complete AVR knowledge separate from an unimplemented emission surface.
attiny	isomorphisms/idric-embedded	attiny	architecture-catalog	inventory-only	selective	low	low	embedded-selective	Carry semantic tests and useful boundaries only when cheap or requested; keep reduced-core differences explicit and do not imply backend support.
ch552	isomorphisms/idric-embedded	ch552	architecture-catalog	inventory-only	selective	low	low	embedded-selective	Preserve the actual 8051/CH55x architecture; do not force ARM shapes or infer codegen from the catalog.
msp430	isomorphisms/idric-embedded	msp430	architecture-catalog	inventory-only	selective	low	low	embedded-selective	Adapt widths, registers, flags and addressing only when a concrete executable slice is requested; inventory is not support.
game-boy	isomorphisms/idric-embedded	game-boy	architecture-catalog	inventory-only	selective	low	low	embedded-selective	Use as a constrained construction target when explicitly activated; no obligation to propagate every ARM feature and no backend claim from inventory alone.
esp-unresolved	isomorphisms/idric-embedded	esp	target-blocker	blocked	blocked	none	low	target-decision	Select an exact Xtensa or RISC-V ESP device/profile before any propagation or instruction work; ESP is not one ISA.
rp4080-invalid	isomorphisms/idric-embedded	rp4080	target-blocker	blocked	blocked	none	none	target-name-blocker	No real RP4080 target is identified; do no implementation work until the branch is renamed and the intended device and every programmable ISA are pinned.
automotive-rh850	isomorphisms/idric-automotive-ecu	follower/rh850	cpu-codegen	implementation-planned	observation-only	low	low	automotive-observe	Ordinary ARM sweeps record applicability only; executable work begins solely through the issue's public-toolchain/oracle gate and remains behind ARM/Thumb.
automotive-e200	isomorphisms/idric-automotive-ecu	follower/power-e200z7	cpu-codegen	implementation-planned	observation-only	low	low	automotive-observe	Ordinary ARM sweeps record applicability only; keep embedded VLE/SPE/ABI separate from server POWER and activate only after a reproducible oracle.
automotive-tricore	isomorphisms/idric-automotive-ecu	reference/tricore-tc18	architecture-catalog	reference-only	observation-only	low	low	automotive-observe	Reference-only until public reproducible TC1.8 execution exists; record facts and blockers without presenting a backend.
