gap	project	state	tracking_url	summary	acceptance
IDRIC-001	*	open	https://github.com/isomorphisms/ai-ci/issues/7	Pinned consumers lack a current Idric lane	IB ICU Hopf and the Unicode picker pass both their exact baseline and an exact reviewed current Idric revision
IDRIC-002	*	open	https://github.com/isomorphisms/ai-ci/issues/7	Moving Idric refs are not receipt bound	Every moving-ref job records the resolved compiler SHA and binds its result to that SHA
IDRIC-003	isomorphisms/ortho	open	https://github.com/isomorphisms/ai-ci/issues/7	Idric geometry regeneration is outside CI	CI rebuilds the generated geometry with a full Idric pin and rejects drift
IDRIC-004	isomorphisms/grease	open	https://github.com/isomorphisms/ai-ci/issues/7	Grease has no declared Idric compatibility seam	A reviewed boundary either names a real Idric dependency and probe or explicitly keeps Grease independent
IDRIC-005	*	open	https://github.com/isomorphisms/ai-ci/issues/7	Wegert-family apps do not consume the compiler backend path	Wegert and analytic continuation name and test the exact intended Idric and GLSL backend tuple
IDRIC-006	isomorphisms/idris-shader-backend	open	https://github.com/isomorphisms/ai-ci/issues/7	Shader backend self-tests only against upstream Idris 2	The backend tests one exact current Idric revision and publishes a bound result
IDRIC-007	isomorphisms/idris-arm-backend	open	https://github.com/isomorphisms/ai-ci/issues/7	ARM backend has no automated Idric compiler API lane	CI tests the exact Idric Float32 and compiler API revision required by the ARM backend
IDRIC-008	*	open	https://github.com/isomorphisms/ai-ci/issues/7	Recent Idris consumers have no Idric migration decision	Each upstream-only consumer either gains an exact Idric lane or records why it remains upstream-only
IDRIC-009	*	open	https://github.com/isomorphisms/ai-ci/issues/7	Planned compiler integrations have no executable tuple	Each integration target names and runs an exact compiler and backend combination
IDRIC-010	isomorphisms/catfood	open	https://github.com/isomorphisms/ai-ci/issues/7	Catfood clones external backends without compatibility tests	Catfood records exact backend revisions and runs their intended Idric compatibility probes
